destination_iso_country,Day of date,psg_ranking,psg_wow_change,psg_yoy_change,destination_country,passengers_number_7days
VU,"January 11, 2020",3,9.12%,20.92%,Vanuatu,8348
TV,"January 11, 2020",12,-33.33%,-33.33%,Tuvalu,128
TO,"January 11, 2020",6,16.83%,-19.45%,Tonga,3430
SB,"January 11, 2020",7,5.24%,-7.15%,Solomon Islands,2572
PW,"January 11, 2020",5,-21.83%,21.37%,Palau,3498
PG,"January 11, 2020",1,-0.91%,10.86%,Papua New Guinea,31228
NR,"January 11, 2020",11,190.91%,-57.52%,Nauru,384
MH,"January 11, 2020",9,17.06%,-2.04%,Marshall Islands (the),1105
KI,"January 11, 2020",10,-0.61%,-19.70%,Kiribati,811
FM,"January 11, 2020",8,-4.49%,-56.29%,Micronesia (Federated States of),1403
FJ,"January 11, 2020",2,-12.82%,-5.15%,Fiji,29763
WS,"January 12, 2020",4,1.30%,-5.92%,Samoa,6235
VU,"January 12, 2020",3,11.81%,23.32%,Vanuatu,8428
TV,"January 12, 2020",12,-33.33%,-33.33%,Tuvalu,128
TO,"January 12, 2020",5,5.67%,-21.33%,Tonga,3430
SB,"January 12, 2020",7,5.24%,-7.15%,Solomon Islands,2572
PW,"January 12, 2020",6,-26.28%,9.99%,Palau,3335
PG,"January 12, 2020",1,-0.27%,6.91%,Papua New Guinea,31030
NR,"January 12, 2020",11,,-57.52%,Nauru,384
MH,"January 12, 2020",9,-20.27%,-21.40%,Marshall Islands (the),885
KI,"January 12, 2020",10,-9.96%,-9.22%,Kiribati,768
FM,"January 12, 2020",8,7.67%,-59.19%,Micronesia (Federated States of),1403
FJ,"January 12, 2020",2,-11.46%,-5.68%,Fiji,29657
WS,"January 13, 2020",4,0.81%,-2.60%,Samoa,6455
VU,"January 13, 2020",3,10.88%,23.22%,Vanuatu,8564
TV,"January 13, 2020",12,-66.67%,-66.67%,Tuvalu,64
TO,"January 13, 2020",6,-1.61%,-23.49%,Tonga,3414
SB,"January 13, 2020",7,5.24%,-7.08%,Solomon Islands,2572
PW,"January 13, 2020",5,-13.56%,25.04%,Palau,3550
PG,"January 13, 2020",1,4.70%,8.32%,Papua New Guinea,31513
NR,"January 13, 2020",11,,-50.52%,Nauru,384
MH,"January 13, 2020",9,-20.27%,-17.13%,Marshall Islands (the),885
KI,"January 13, 2020",10,-9.96%,-9.22%,Kiribati,768
FM,"January 13, 2020",8,7.67%,-59.14%,Micronesia (Federated States of),1403
FJ,"January 13, 2020",2,-7.81%,-5.36%,Fiji,29676
WS,"January 14, 2020",4,5.55%,-5.97%,Samoa,6311
VU,"January 14, 2020",3,3.61%,19.77%,Vanuatu,8324
TV,"January 14, 2020",12,-66.67%,-66.67%,Tuvalu,64
TO,"January 14, 2020",6,-9.85%,-21.12%,Tonga,3515
SB,"January 14, 2020",7,0.31%,-2.65%,Solomon Islands,2572
PW,"January 14, 2020",5,-13.41%,16.50%,Palau,3572
PG,"January 14, 2020",1,3.43%,6.84%,Papua New Guinea,31385
NR,"January 14, 2020",11,,-50.52%,Nauru,384
MH,"January 14, 2020",9,-9.89%,-14.60%,Marshall Islands (the),866
KI,"January 14, 2020",10,-9.96%,-9.22%,Kiribati,768
FM,"January 14, 2020",8,-18.74%,-64.39%,Micronesia (Federated States of),1223
FJ,"January 14, 2020",2,-3.44%,-1.78%,Fiji,30572
WS,"January 15, 2020",4,6.90%,-1.97%,Samoa,6464
VU,"January 15, 2020",3,1.09%,19.78%,Vanuatu,8310
TV,"January 15, 2020",12,-50.00%,-66.67%,Tuvalu,64
TO,"January 15, 2020",6,4.19%,-14.34%,Tonga,3531
SB,"January 15, 2020",7,-1.83%,-2.65%,Solomon Islands,2572
PW,"January 15, 2020",5,-5.40%,21.25%,Palau,3572
PG,"January 15, 2020",1,4.18%,6.88%,Papua New Guinea,31890
NR,"January 15, 2020",11,,-34.02%,Nauru,512
MH,"January 15, 2020",10,8.93%,-14.60%,Marshall Islands (the),866
KI,"January 15, 2020",9,36.46%,-4.70%,Kiribati,932
FM,"January 15, 2020",8,-8.66%,-58.34%,Micronesia (Federated States of),1223
FJ,"January 15, 2020",2,1.29%,1.16%,Fiji,30865
WS,"January 16, 2020",4,-1.61%,-13.93%,Samoa,6093
VU,"January 16, 2020",3,4.22%,16.73%,Vanuatu,8344
TV,"January 16, 2020",12,-50.00%,-66.67%,Tuvalu,64
TO,"January 16, 2020",5,6.53%,-21.28%,Tonga,3440
SB,"January 16, 2020",7,-1.83%,-3.67%,Solomon Islands,2572
PW,"January 16, 2020",6,-8.92%,13.27%,Palau,3337
PG,"January 16, 2020",1,4.12%,7.31%,Papua New Guinea,32482
NR,"January 16, 2020",11,298.44%,-34.28%,Nauru,510
MH,"January 16, 2020",10,-6.39%,26.69%,Marshall Islands (the),864
KI,"January 16, 2020",9,36.46%,-4.70%,Kiribati,932
FM,"January 16, 2020",8,-16.08%,-60.18%,Micronesia (Federated States of),1169
FJ,"January 16, 2020",2,3.74%,0.90%,Fiji,30658
WS,"January 17, 2020",4,-1.70%,-9.46%,Samoa,6074
VU,"January 17, 2020",3,-3.87%,9.37%,Vanuatu,7894
TO,"January 17, 2020",6,-11.67%,-30.03%,Tonga,2968
SB,"January 17, 2020",7,-1.83%,-3.74%,Solomon Islands,2572
PW,"January 17, 2020",5,-7.70%,16.79%,Palau,3367
PG,"January 17, 2020",1,4.73%,11.47%,Papua New Guinea,32845
NR,"January 17, 2020",11,-33.85%,-60.92%,Nauru,254
MH,"January 17, 2020",10,-17.09%,-4.48%,Marshall Islands (the),810
KI,"January 17, 2020",9,54.90%,7.96%,Kiribati,1058
FM,"January 17, 2020",8,-16.08%,-50.59%,Micronesia (Federated States of),1169
FJ,"January 17, 2020",2,0.97%,-0.50%,Fiji,29960
WS,"January 18, 2020",4,1.06%,-7.82%,Samoa,6022
VU,"January 18, 2020",3,-13.90%,-4.72%,Vanuatu,7188
TV,"January 18, 2020",12,-50.00%,-66.67%,Tuvalu,64
TO,"January 18, 2020",7,-25.77%,-42.35%,Tonga,2546
SB,"January 18, 2020",6,7.15%,4.31%,Solomon Islands,2756
PW,"January 18, 2020",5,-3.74%,16.79%,Palau,3367
PG,"January 18, 2020",1,5.28%,6.13%,Papua New Guinea,32876
NR,"January 18, 2020",11,31.77%,-22.15%,Nauru,506
MH,"January 18, 2020",10,-26.88%,-10.42%,Marshall Islands (the),808
KI,"January 18, 2020",8,30.21%,7.76%,Kiribati,1056
FM,"January 18, 2020",9,-31.79%,-70.06%,Micronesia (Federated States of),957
FJ,"January 18, 2020",2,2.48%,-2.94%,Fiji,30500
WS,"January 19, 2020",4,0.05%,-1.25%,Samoa,6238
VU,"January 19, 2020",3,-16.35%,-7.48%,Vanuatu,7050
TV,"January 19, 2020",12,-50.00%,-66.67%,Tuvalu,64
TO,"January 19, 2020",7,-21.43%,-40.59%,Tonga,2695
SB,"January 19, 2020",6,7.15%,4.31%,Solomon Islands,2756
PW,"January 19, 2020",5,-0.12%,21.88%,Palau,3331
PG,"January 19, 2020",1,8.10%,9.94%,Papua New Guinea,33544
NR,"January 19, 2020",11,64.58%,-19.18%,Nauru,632
MH,"January 19, 2020",10,-8.70%,-24.49%,Marshall Islands (the),808
KI,"January 19, 2020",9,38.28%,8.37%,Kiribati,1062
FM,"January 19, 2020",8,-23.81%,-67.11%,Micronesia (Federated States of),1069
FJ,"January 19, 2020",2,2.44%,-5.26%,Fiji,30380
WS,"January 20, 2020",4,-7.95%,-6.22%,Samoa,5942
VU,"January 20, 2020",3,-21.44%,-14.73%,Vanuatu,6728
TV,"January 20, 2020",12,100.00%,-33.33%,Tuvalu,128
TO,"January 20, 2020",7,-21.06%,-38.75%,Tonga,2695
SB,"January 20, 2020",6,7.15%,4.24%,Solomon Islands,2756
PW,"January 20, 2020",5,-12.14%,14.12%,Palau,3119
PG,"January 20, 2020",1,7.10%,9.08%,Papua New Guinea,33751
NR,"January 20, 2020",11,64.58%,-19.18%,Nauru,632
MH,"January 20, 2020",10,-8.70%,-34.63%,Marshall Islands (the),808
KI,"January 20, 2020",9,38.28%,31.11%,Kiribati,1062
FM,"January 20, 2020",8,-23.81%,-68.02%,Micronesia (Federated States of),1069
FJ,"January 20, 2020",2,4.22%,-1.36%,Fiji,30929
WS,"January 21, 2020",4,-5.59%,1.17%,Samoa,5958
VU,"January 21, 2020",3,-20.01%,-14.09%,Vanuatu,6658
TV,"January 21, 2020",12,100.00%,-33.33%,Tuvalu,128
TO,"January 21, 2020",7,-22.56%,-34.06%,Tonga,2722
SB,"January 21, 2020",6,9.02%,1.23%,Solomon Islands,2804
PW,"January 21, 2020",5,-13.13%,23.82%,Palau,3103
PG,"January 21, 2020",1,11.87%,16.32%,Papua New Guinea,35110
NR,"January 21, 2020",10,131.25%,13.55%,Nauru,888
MH,"January 21, 2020",11,-6.70%,-44.66%,Marshall Islands (the),808
KI,"January 21, 2020",9,25.78%,-1.43%,Kiribati,966
FM,"January 21, 2020",8,5.40%,-61.44%,Micronesia (Federated States of),1289
FJ,"January 21, 2020",2,0.03%,-3.23%,Fiji,30580
WS,"January 22, 2020",4,-10.54%,-6.12%,Samoa,5783
VU,"January 22, 2020",3,-21.95%,-17.79%,Vanuatu,6486
TV,"January 22, 2020",12,200.00%,0.00%,Tuvalu,192
TO,"January 22, 2020",7,-22.46%,-34.96%,Tonga,2738
SB,"January 22, 2020",6,12.44%,9.38%,Solomon Islands,2892
PW,"January 22, 2020",5,-12.01%,18.34%,Palau,3143
PG,"January 22, 2020",1,7.62%,16.01%,Papua New Guinea,34320
NR,"January 22, 2020",11,48.44%,-2.81%,Nauru,760
MH,"January 22, 2020",10,-6.70%,-49.05%,Marshall Islands (the),808
KI,"January 22, 2020",9,-0.86%,-5.13%,Kiribati,924
FM,"January 22, 2020",8,5.40%,-63.86%,Micronesia (Federated States of),1289
FJ,"January 22, 2020",2,-0.97%,-3.38%,Fiji,30567
WS,"January 23, 2020",4,-4.91%,1.99%,Samoa,5794
VU,"January 23, 2020",3,-20.16%,-13.30%,Vanuatu,6662
TV,"January 23, 2020",12,200.00%,0.00%,Tuvalu,192
TO,"January 23, 2020",7,-15.73%,-21.52%,Tonga,2899
SB,"January 23, 2020",6,17.73%,21.12%,Solomon Islands,3028
PW,"January 23, 2020",5,-3.54%,23.71%,Palau,3219
PG,"January 23, 2020",1,8.58%,22.40%,Papua New Guinea,35270
NR,"January 23, 2020",11,24.31%,-18.93%,Nauru,634
MH,"January 23, 2020",10,-21.06%,-61.07%,Marshall Islands (the),682
KI,"January 23, 2020",9,-0.86%,-4.55%,Kiribati,924
FM,"January 23, 2020",8,14.88%,-64.02%,Micronesia (Federated States of),1343
FJ,"January 23, 2020",2,1.81%,-2.33%,Fiji,31214
WS,"January 24, 2020",4,-1.04%,2.28%,Samoa,6011
VU,"January 24, 2020",3,-13.02%,-9.82%,Vanuatu,6866
TV,"January 24, 2020",12,,33.33%,Tuvalu,256
TO,"January 24, 2020",6,3.07%,-14.07%,Tonga,3059
SB,"January 24, 2020",7,14.97%,18.28%,Solomon Islands,2957
PW,"January 24, 2020",5,-5.20%,28.09%,Palau,3192
PG,"January 24, 2020",1,9.08%,22.13%,Papua New Guinea,35828
NR,"January 24, 2020",9,250.39%,-1.98%,Nauru,890
MH,"January 24, 2020",11,-9.14%,-57.06%,Marshall Islands (the),736
KI,"January 24, 2020",10,-24.57%,-17.56%,Kiribati,798
FM,"January 24, 2020",8,14.88%,-68.26%,Micronesia (Federated States of),1343
FJ,"January 24, 2020",2,5.34%,-1.91%,Fiji,31561
WS,"January 25, 2020",4,-2.94%,-3.40%,Samoa,5845
VU,"January 25, 2020",3,2.42%,-5.35%,Vanuatu,7362
TV,"January 25, 2020",12,200.00%,0.00%,Tuvalu,192
TO,"January 25, 2020",5,35.86%,8.71%,Tonga,3459
SB,"January 25, 2020",7,-5.88%,3.76%,Solomon Islands,2594
PW,"January 25, 2020",6,-5.20%,26.57%,Palau,3192
PG,"January 25, 2020",1,13.22%,28.05%,Papua New Guinea,37222
NR,"January 25, 2020",11,26.09%,-29.74%,Nauru,638
MH,"January 25, 2020",10,-8.66%,-63.93%,Marshall Islands (the),738
KI,"January 25, 2020",9,-24.24%,-17.36%,Kiribati,800
FM,"January 25, 2020",8,39.50%,-64.24%,Micronesia (Federated States of),1335
FJ,"January 25, 2020",2,1.19%,-4.76%,Fiji,30862
WS,"January 26, 2020",4,-9.31%,-2.14%,Samoa,5657
VU,"January 26, 2020",3,2.27%,-6.39%,Vanuatu,7210
TV,"January 26, 2020",12,200.00%,0.00%,Tuvalu,192
TO,"January 26, 2020",5,21.63%,8.83%,Tonga,3278
SB,"January 26, 2020",7,-0.94%,4.12%,Solomon Islands,2730
PW,"January 26, 2020",6,-4.17%,19.46%,Palau,3192
PG,"January 26, 2020",1,11.09%,27.25%,Papua New Guinea,37264
NR,"January 26, 2020",10,1.27%,-29.52%,Nauru,640
MH,"January 26, 2020",9,-8.66%,-60.74%,Marshall Islands (the),738
KI,"January 26, 2020",11,-40.68%,-34.92%,Kiribati,630
FM,"January 26, 2020",8,-1.12%,-72.89%,Micronesia (Federated States of),1057
FJ,"January 26, 2020",2,1.54%,0.30%,Fiji,30849
WS,"January 27, 2020",4,-14.29%,-8.83%,Samoa,5093
VU,"January 27, 2020",3,5.38%,-3.17%,Vanuatu,7090
TV,"January 27, 2020",12,50.00%,0.00%,Tuvalu,192
TO,"January 27, 2020",6,14.29%,2.26%,Tonga,3080
SB,"January 27, 2020",7,-0.94%,9.64%,Solomon Islands,2730
PW,"January 27, 2020",5,2.05%,17.80%,Palau,3183
PG,"January 27, 2020",1,9.59%,27.86%,Papua New Guinea,36988
NR,"January 27, 2020",11,1.27%,-29.52%,Nauru,640
MH,"January 27, 2020",10,-15.35%,-61.40%,Marshall Islands (the),684
KI,"January 27, 2020",9,-25.24%,-30.23%,Kiribati,794
FM,"January 27, 2020",8,9.35%,-68.39%,Micronesia (Federated States of),1169
FJ,"January 27, 2020",2,-1.64%,-2.27%,Fiji,30423
WS,"January 28, 2020",4,-17.74%,-12.26%,Samoa,4901
VU,"January 28, 2020",3,5.26%,-6.96%,Vanuatu,7008
TV,"January 28, 2020",12,50.00%,0.00%,Tuvalu,192
TO,"January 28, 2020",6,7.24%,-3.09%,Tonga,2919
SB,"January 28, 2020",7,-2.35%,9.70%,Solomon Islands,2738
PW,"January 28, 2020",5,1.80%,22.63%,Palau,3159
PG,"January 28, 2020",1,0.85%,24.17%,Papua New Guinea,35407
NR,"January 28, 2020",11,-56.76%,-57.71%,Nauru,384
MH,"January 28, 2020",9,-15.35%,-61.31%,Marshall Islands (the),684
KI,"January 28, 2020",10,-30.43%,-30.58%,Kiribati,672
FM,"January 28, 2020",8,-26.38%,-74.71%,Micronesia (Federated States of),949
FJ,"January 28, 2020",2,-2.57%,-3.61%,Fiji,29795
WS,"January 29, 2020",4,-12.12%,-7.28%,Samoa,5082
VU,"January 29, 2020",3,10.85%,-2.73%,Vanuatu,7190
TV,"January 29, 2020",12,0.00%,0.00%,Tuvalu,192
TO,"January 29, 2020",6,6.03%,-5.50%,Tonga,2903
SB,"January 29, 2020",7,-4.91%,5.04%,Solomon Islands,2750
PW,"January 29, 2020",5,-1.72%,30.23%,Palau,3089
PG,"January 29, 2020",1,3.81%,25.02%,Papua New Guinea,35626
NR,"January 29, 2020",11,-49.47%,-57.80%,Nauru,384
MH,"January 29, 2020",10,-22.03%,-64.41%,Marshall Islands (the),630
KI,"January 29, 2020",9,-14.94%,-18.97%,Kiribati,786
FM,"January 29, 2020",8,-26.38%,-75.78%,Micronesia (Federated States of),949
FJ,"January 29, 2020",2,-2.85%,-1.87%,Fiji,29695
WS,"January 30, 2020",4,-15.41%,-10.27%,Samoa,4901
VU,"January 30, 2020",3,7.93%,-0.96%,Vanuatu,7190
TV,"January 30, 2020",12,0.00%,0.00%,Tuvalu,192
TO,"January 30, 2020",5,4.86%,-1.04%,Tonga,3040
SB,"January 30, 2020",7,-11.29%,-5.89%,Solomon Islands,2686
PW,"January 30, 2020",6,-6.21%,28.14%,Palau,3019
PG,"January 30, 2020",1,-2.61%,18.44%,Papua New Guinea,34349
NR,"January 30, 2020",11,-26.81%,-64.03%,Nauru,464
MH,"January 30, 2020",10,-7.62%,-62.09%,Marshall Islands (the),630
KI,"January 30, 2020",8,16.02%,9.84%,Kiribati,1072
FM,"January 30, 2020",9,-33.36%,-75.80%,Micronesia (Federated States of),895
FJ,"January 30, 2020",2,-5.66%,-0.79%,Fiji,29448
WS,"January 31, 2020",4,-13.84%,-8.87%,Samoa,5179
VU,"January 31, 2020",3,9.15%,3.22%,Vanuatu,7494
TV,"January 31, 2020",12,-25.00%,0.00%,Tuvalu,192
TO,"January 31, 2020",6,-3.24%,-3.65%,Tonga,2960
SB,"January 31, 2020",7,-12.07%,-8.90%,Solomon Islands,2600
PW,"January 31, 2020",5,-5.51%,23.00%,Palau,3016
PG,"January 31, 2020",1,-7.61%,14.25%,Papua New Guinea,33102
NR,"January 31, 2020",11,-62.25%,-73.95%,Nauru,336
MH,"January 31, 2020",10,-21.74%,-65.34%,Marshall Islands (the),576
KI,"January 31, 2020",8,50.38%,22.95%,Kiribati,1200
FM,"January 31, 2020",9,-33.36%,-75.07%,Micronesia (Federated States of),895
FJ,"January 31, 2020",2,-5.45%,2.15%,Fiji,29842
WS,"February 1, 2020",4,-17.14%,-6.60%,Samoa,4843
VU,"February 1, 2020",3,-5.38%,-1.75%,Vanuatu,6966
TV,"February 1, 2020",12,0.00%,0.00%,Tuvalu,192
TO,"February 1, 2020",6,-14.60%,4.01%,Tonga,2954
SB,"February 1, 2020",7,3.35%,-10.33%,Solomon Islands,2681
PW,"February 1, 2020",5,-5.51%,14.94%,Palau,3016
PG,"February 1, 2020",1,-16.04%,8.70%,Papua New Guinea,31250
NR,"February 1, 2020",11,-47.34%,-73.95%,Nauru,336
MH,"February 1, 2020",10,-39.30%,-66.32%,Marshall Islands (the),448
KI,"February 1, 2020",8,50.00%,22.95%,Kiribati,1200
FM,"February 1, 2020",9,-11.24%,-66.99%,Micronesia (Federated States of),1185
FJ,"February 1, 2020",2,-5.92%,0.44%,Fiji,29035
WS,"February 2, 2020",4,-17.15%,-16.85%,Samoa,4687
VU,"February 2, 2020",3,-7.30%,-3.91%,Vanuatu,6684
TV,"February 2, 2020",12,0.00%,0.00%,Tuvalu,192
TO,"February 2, 2020",6,-11.78%,2.05%,Tonga,2892
SB,"February 2, 2020",7,-7.95%,-12.38%,Solomon Islands,2513
PW,"February 2, 2020",5,-5.33%,22.15%,Palau,3022
PG,"February 2, 2020",1,-17.46%,8.17%,Papua New Guinea,30759
NR,"February 2, 2020",11,-47.50%,-70.98%,Nauru,336
MH,"February 2, 2020",10,-39.30%,-66.32%,Marshall Islands (the),448
KI,"February 2, 2020",9,90.48%,22.95%,Kiribati,1200
FM,"February 2, 2020",8,27.81%,-61.31%,Micronesia (Federated States of),1351
FJ,"February 2, 2020",2,-6.47%,-0.23%,Fiji,28852
WS,"February 3, 2020",4,2.28%,-2.25%,Samoa,5209
VU,"February 3, 2020",3,-7.81%,-3.85%,Vanuatu,6536
TV,"February 3, 2020",12,0.00%,0.00%,Tuvalu,192
TO,"February 3, 2020",6,-7.66%,0.35%,Tonga,2844
SB,"February 3, 2020",7,-3.63%,-16.85%,Solomon Islands,2631
PW,"February 3, 2020",5,-4.87%,23.09%,Palau,3028
PG,"February 3, 2020",1,-19.13%,6.16%,Papua New Guinea,29913
NR,"February 3, 2020",11,-27.50%,-63.75%,Nauru,464
