DATAFLOW,FREQ: Frequency,TIME_PERIOD: Time,GEO_PICT: Pacific Island Countries and territories,INDICATOR: Indicator,CURRENCY: Currency,OBS_VALUE,UNIT_MEASURE: Unit of measure,UNIT_MULT: Unit multiplier,OBS_STATUS: Observation Status,DATA_SOURCE: Data source,OBS_COMMENT: Comment
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2019,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,3249,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2020,WS: Samoa,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,2907,WST_POP: Tala per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,25648,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,26974,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,24167,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,41567,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,57856,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,50144,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,60899,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,66455,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2013,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,75208,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2014,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,80723,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2015,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,70721,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2016,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,84169,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2017,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,108762,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2018,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,111222,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2019,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,129386,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2020,TO: Tonga,EARN: Gross tourism earnings,DOM: Domestic currency,108090,TOP: Pa’anga,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2013,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2014,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2015,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2016,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2017,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2018,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2019,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2020,FM: Micronesia (Federated States of),EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,,PERCENT: percent,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,,NZD_POP: New Zealand Dollar per person,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,482,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,638,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,594,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,582,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,473,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,580,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,669,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2013,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,1050,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2014,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,750,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2015,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,798,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2016,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,812,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2017,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,697,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2018,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,841,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2019,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,978,NZD_POP: New Zealand Dollar per person,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2020,NU: Niue,EARN2VIS: Gross tourism earnings per visitor,DOM: Domestic currency,,NZD_POP: New Zealand Dollar per person,,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,5424,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,5348,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,5061,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,5080,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,5334,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,6047,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,6446,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,6591,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2013,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,7122,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2014,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,7846,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2015,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,7715,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2016,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,7655,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2017,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,8542,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2018,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,9999,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2019,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,10109,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2020,MH: Marshall Islands,EARN: Gross tourism earnings,DOM: Domestic currency,5149,USD: USD,3: thousands,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2013,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2014,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2015,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2016,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2017,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2018,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2019,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2020,FM: Micronesia (Federated States of),EARN: Gross tourism earnings,USD: US Dollar,,USD: USD,3: thousands,NA: Data not available,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,19,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,20,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,15,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,16,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,19,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,19,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,17,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,19,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2013,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,18,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2014,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,19,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2015,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,18,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2016,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,18,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2017,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,21,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2018,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,24,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2019,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,25,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2020,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,DOM: Domestic currency,3,PERCENT: percent,,,National authorities,
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,239,USD_POP: USD per person,,,National authorities,Converted 0.5147 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,230,USD_POP: USD per person,,,National authorities,Converted 0.4936 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,230,USD_POP: USD per person,,,National authorities,Converted 0.5074 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,320,USD_POP: USD per person,,,National authorities,Converted 0.5148 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,381,USD_POP: USD per person,,,National authorities,Converted 0.4915 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,405,USD_POP: USD per person,,,National authorities,Converted 0.5247 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,515,USD_POP: USD per person,,,National authorities,Converted 0.5784 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,675,USD_POP: USD per person,,,National authorities,Converted 0.5816 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2013,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,711,USD_POP: USD per person,,,National authorities,Converted 0.5638 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2014,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,664,USD_POP: USD per person,,,National authorities,Converted 0.5415 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2015,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,463,USD_POP: USD per person,,,National authorities,Converted 0.4749 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2016,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,438,USD_POP: USD per person,,,National authorities,Converted 0.4513 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2017,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,569,USD_POP: USD per person,,,National authorities,Converted 0.4533 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2018,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,643,USD_POP: USD per person,,,National authorities,Converted 0.4471 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2019,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,601,USD_POP: USD per person,,,National authorities,Converted 0.4368 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2020,TO: Tonga,EARN2VIS: Gross tourism earnings per visitor,USD: US Dollar,764,USD_POP: USD per person,,,National authorities,Converted 0.4349 TOP/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2005,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,USD: US Dollar,19,PERCENT: percent,,,National authorities,Converted 0.369 WST/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2006,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,USD: US Dollar,20,PERCENT: percent,,,National authorities,Converted 0.3598 WST/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2007,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,USD: US Dollar,15,PERCENT: percent,,,National authorities,Converted 0.3822 WST/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2008,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,USD: US Dollar,16,PERCENT: percent,,,National authorities,Converted 0.3782 WST/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2009,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,USD: US Dollar,19,PERCENT: percent,,,National authorities,Converted 0.3662 WST/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2010,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,USD: US Dollar,19,PERCENT: percent,,,National authorities,Converted 0.4025 WST/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2011,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,USD: US Dollar,17,PERCENT: percent,,,National authorities,Converted 0.4315 WST/USD
SPC:DF_TOURISM_EARNINGS(1.0),A: Annual,2012,WS: Samoa,EARN2GDP: Gross tourism earnings as percentage of GDP,USD: US Dollar,19,PERCENT: percent,,,National authorities,Converted 0.4362 WST/USD
